OBJECTID,ROCK_NAME,ROCK_TYPE,AQ_NAME,AQ_CODE,Shape_Leng,Shape_Area,observed
470,Carbonate-rock aquifers,400,Silurian-Devonian aquifers,410,0.0225046244,3.34021e-05,
471,Carbonate-rock aquifers,400,Silurian-Devonian aquifers,410,0.05134081863,0.00013203308,
1051,Carbonate-rock aquifers,400,New York and New England carbonate-rock aquifers,416,0.08758748596,0.00055694284,
1558,,999,Other rocks,999,0.09495801358,0.00033740577,
1559,Carbonate-rock aquifers,400,New York and New England carbonate-rock aquifers,416,0.31506514845,0.00270625077,
472,Unconsolidated sand and gravel aquifers,100,Columbia Plateau basin-fill aquifers,116,0.53589826207,0.00943913569,
484,Unconsolidated sand and gravel aquifers,100,Columbia Plateau basin-fill aquifers,116,0.16194278486,0.00167504483,
4149,,999,Other rocks,999,0.02352423639,3.716132e-05,
3004,,999,Other rocks,999,0.97055676997,0.03182213712,
3005,,999,Other rocks,999,0.21749868449,0.00214448395,
473,Carbonate-rock aquifers,400,Silurian-Devonian aquifers,410,0.02592859861,4.521394e-05,
4020,Semiconsolidated sand aquifers,200,Texas coastal uplands aquifer system,202,0.17819381166,0.00122736355,
474,Carbonate-rock aquifers,400,Silurian-Devonian aquifers,410,0.03004295484,5.56964e-05,
475,Carbonate-rock aquifers,400,Silurian-Devonian aquifers,410,0.02349771922,3.355314e-05,
476,Carbonate-rock aquifers,400,Silurian-Devonian aquifers,410,0.02775975574,5.285047e-05,
